WinTeam,LoseTeam,WinLoc
Brooklyn Nets,Golden State Warriors,H
Los Angeles Clippers,Los Angeles Lakers,V
Cleveland Cavaliers,Charlotte Hornets,H
Indiana Pacers,New York Knicks,H
Orlando Magic,Miami Heat,H
Philadelphia 76ers,Washington Wizards,H
New Orleans Pelicans,Toronto Raptors,V
Boston Celtics,Milwaukee Bucks,H
Atlanta Hawks,Chicago Bulls,V
San Antonio Spurs,Memphis Grizzlies,V
Minnesota Timberwolves,Detroit Pistons,H
Sacramento Kings,Denver Nuggets,V
Utah Jazz,Portland Trail Blazers,V
Phoenix Suns,Dallas Mavericks,H
Miami Heat,New Orleans Pelicans,H
Milwaukee Bucks,Golden State Warriors,H
Brooklyn Nets,Boston Celtics,V
Los Angeles Lakers,Dallas Mavericks,H
Los Angeles Clippers,Denver Nuggets,V
Atlanta Hawks,Memphis Grizzlies,V
Oklahoma City Thunder,Charlotte Hornets,V
Cleveland Cavaliers,Detroit Pistons,V
Orlando Magic,Washington Wizards,V
Philadelphia 76ers,New York Knicks,V
Indiana Pacers,Chicago Bulls,V
San Antonio Spurs,Toronto Raptors,H
Minnesota Timberwolves,Utah Jazz,V
Portland Trail Blazers,Houston Rockets,H
Sacramento Kings,Phoenix Suns,H
Dallas Mavericks,Los Angeles Clippers,V
New Orleans Pelicans,San Antonio Spurs,H
Orlando Magic,Washington Wizards,V
Charlotte Hornets,Brooklyn Nets,H
Cleveland Cavaliers,Philadelphia 76ers,H
New York Knicks,Milwaukee Bucks,H
Indiana Pacers,Boston Celtics,H
Golden State Warriors,Chicago Bulls,V
Phoenix Suns,Sacramento Kings,V
Los Angeles Lakers,Minnesota Timberwolves,H
Memphis Grizzlies,Brooklyn Nets,V
Atlanta Hawks,Detroit Pistons,H
Utah Jazz,Oklahoma City Thunder,V
Denver Nuggets,Houston Rockets,H
Portland Trail Blazers,Los Angeles Lakers,V
New York Knicks,Cleveland Cavaliers,V
Golden State Warriors,Detroit Pistons,V
